,geoname,year,incper,poptot,area,popdens
377,"Washington, PA",2015,52072,208268,2230,93.39372197
378,"Washington, PA",2016,52834,207981,2230,93.26502242
379,"Wayne, PA",2011,34588,52231,1945,26.85398458
380,"Wayne, PA",2012,35301,51695,1945,26.57840617
381,"Wayne, PA",2013,35294,51639,1945,26.5496144
382,"Wayne, PA",2014,36037,51402,1945,26.4277635
383,"Wayne, PA",2015,37543,51091,1945,26.26786632
384,"Wayne, PA",2016,38965,50710,1945,26.07197943
385,"Westmoreland, PA",2011,41964,364493,2683,135.8527767
386,"Westmoreland, PA",2012,43811,363179,2683,135.3630265
387,"Westmoreland, PA",2013,43180,361151,2683,134.6071562
388,"Westmoreland, PA",2014,44955,359398,2683,133.9537831
389,"Westmoreland, PA",2015,46388,357699,2683,133.3205367
390,"Westmoreland, PA",2016,47096,355458,2683,132.4852777
391,"Wyoming, PA",2011,36069,28290,1049,26.96854147
392,"Wyoming, PA",2012,37653,28345,1049,27.02097235
393,"Wyoming, PA",2013,37823,28125,1049,26.81124881
394,"Wyoming, PA",2014,39707,28128,1049,26.81410867
395,"Wyoming, PA",2015,40969,27756,1049,26.45948522
396,"Wyoming, PA",2016,41633,27521,1049,26.23546235
397,"York, PA",2011,41589,436845,2357,185.3394145
398,"York, PA",2012,42438,437641,2357,185.6771319
399,"York, PA",2013,42129,439117,2357,186.3033517
400,"York, PA",2014,43170,440590,2357,186.9282987
401,"York, PA",2015,44983,441929,2357,187.4963937
402,"York, PA",2016,45918,443744,2357,188.2664404
