"","geoname","county","year","X","incper","popdens","DO","urbanrural","incper2","incper3","SCI","sci2","sci3"
"90","WCUPE","Erie, PA",2016,90,40764,133.497825,9.359782609,1,1661703696,67737689463744,0.494411090275017,0.244442326186931,0.120854996999442
"2","YRAS","Allegheny, PA",2011,2,48192,636.0284974,8.912571429,1,2322468864,111924419493888,0.404364317458529,0.163510501233702,0.0661178122286679
"3","YRAS","Allegheny, PA",2012,4,49845,637.7419689,8.46125,1,2484524025,123841100026125,0.415507941221164,0.172646849217851,0.0717361368768299
"5","YRAS","Allegheny, PA",2013,6,50096,639.1870466,8.822222222,1,2509609216,125721383284736,0.408078519712822,0.166528078251008,0.0679565316632925
"7","YRAS","Allegheny, PA",2014,8,52008,638.6870466,9.252513966,1,2704832064,140672905984512,0.414303470314435,0.171647365514584,0.0711140992030222
"10","YRAS","Allegheny, PA",2015,9,54396,636.9419689,8.748603352,1,2958924816,160953674291136,0.400900244416023,0.160721005972827,0.0644330905772952
"11","YRAS","Allegheny, PA",2016,11,54796,634.9041451,9.514925373,1,3002601616,164530558150336,0.400900244416023,0.160721005972827,0.0644330905772952
"91","YRBC","Fayette, PA",2011,91,34613,65.81132075,8.8,0,1198059769,41468442784397,0.557745985536678,0.31108058438228,0.173503947117621
"92","YRBC","Fayette, PA",2012,92,35447,65.53652637,8.587878788,0,1256489809,44538794259623,0.590247618670193,0.348392251345834,0.205637696720026
"93","YRBC","Fayette, PA",2013,93,35791,65.24770198,8.81910828,0,1280995681,45848116418671,0.577993524076703,0.334076513874607,0.193094061565644
"94","YRBC","Fayette, PA",2014,94,36803,65.01015965,8.689240506,0,1354460809,49848221153627,0.572348488996665,0.327582792856765,0.187491516512877
"95","YRBC","Fayette, PA",2015,95,38085,64.6850508,8.575141243,0,1450467225,55241044264125,0.566296453900359,0.320691673700122,0.18160655761175
"96","YRBC","Fayette, PA",2016,96,38960,64.21528786,8.790217391,0,1517881600,59136667136000,0.566296453900359,0.320691673700122,0.18160655761175
"145","YRDOT","Somerset, PA",2011,145,34170,27.63464286,7.587978142,0,1167588900,39896512713000,0.999999959074966,0.999999918149933,0.999999877224902
"146","YRDOT","Somerset, PA",2012,146,34759,27.56821429,7.731147541,0,1208188081,41995409507479,1.0000000259092,1.00000005181841,1.00000007772762
"147","YRDOT","Somerset, PA",2013,147,34597,27.4175,7.575274725,0,1196952409,41410962494173,1.00000004025086,1.00000008050171,1.00000012075257
"148","YRDOT","Somerset, PA",2014,148,35625,27.26214286,7.82994012,0,1269140625,45213134765625,1.00000004862641,1.00000009725281,1.00000014587922
"149","YRDOT","Somerset, PA",2015,149,36555,27.0175,7.451111111,0,1336268025,48847277653875,0.999999961422362,0.999999922844726,0.999999884267091
"150","YRDOT","Somerset, PA",2016,150,37250,26.8075,7.517857143,0,1387562500,51686703125000,0.999999961422362,0.999999922844726,0.999999884267091
